year,GPP_NT_VUT_REF_sum,NEE_VUT_REF_QC_mean,P_F_sum,P_F_QC_mean,P_ERA_sum,P_F_jfmam_sum,P_F_QC_jfmam_mean,P_ERA_jfmam_sum,TA_F_mean,TA_F_QC_mean,TA_ERA_mean,PPFD_IN_mean,PPFD_IN_QC_mean,SW_IN_F_mean,SW_IN_F_QC_mean,SW_IN_ERA_mean,VPD_F_mean,VPD_F_QC_mean,VPD_ERA_mean,NETRAD_mean,NETRAD_QC_mean,G_F_MDS_mean,G_F_MDS_QC_mean,LE_F_MDS_mean,LE_F_MDS_QC_mean,LE_CORR_mean,H_F_MDS_mean,H_F_MDS_QC_mean,H_CORR_mean,SWC_F_MDS_1_mean,SWC_F_MDS_1_QC_mean,SITE_ID,keep_year,season,PDSI_mean
2011,796.14236,0.93704713,56.862,0.99909413,55.192,172.799,0.99710255,152.413,10.40055435,0.999773696,10.70408696,NA,0,189.6095435,1,186.4006196,3.824336957,0.999773696,4.133054348,92.6558844,0.999547101,NA,NA,-2.890055,NA,NA,14.5713687,NA,NA,30.48686957,1,BE-Dor,TRUE,Spring,-1.986666667
2012,767.29435,0.851222837,142.412,0.995471043,145.101,233.113,0.997258789,251.26,9.386684783,0.954030641,9.433576087,NA,0,150.7338696,0.954936446,160.3580978,2.233728261,0.954030641,2.441271739,77.89791118,0.946105072,NA,NA,-2.890055,NA,NA,8.483610543,NA,NA,41.9265,0.953577772,BE-Dor,TRUE,Spring,-3.386666667
2013,612.00647,0.980525543,148.219,1,145.127,220.148,0.999724079,231.282,6.63548913,1,6.45073913,NA,0,139.7207391,1,142.5136848,1.96001087,1,1.987423913,68.31868652,0.999320652,NA,NA,-2.8802125,NA,NA,10.6100925,NA,NA,46.87077174,1,BE-Dor,TRUE,Spring,0.463333333
2014,924.87316,0.970109065,70.174,1,94.414,181.351,1,199.051,9.793108696,1,10.15536957,NA,0,163.5865652,1,168.5189891,2.566880435,1,3.033173913,77.6929846,0.998641304,NA,NA,28.56971848,NA,NA,12.20370185,NA,NA,27.48957609,1,BE-Dor,TRUE,Spring,-2.47
2015,900.30799,0.951766674,124.109,0.999773696,124.019,244.896,0.999862119,242.659,8.363228261,1,8.552880435,NA,0,165.4792065,1,160.5253804,2.233695652,1,2.585,80.84104342,0.998867754,NA,NA,21.85566391,NA,NA,15.95044674,NA,NA,31.7206087,1,BE-Dor,TRUE,Spring,-1.156666667
2016,849.93885,0.973958196,215.053,0.828804207,204.094,370.354,0.894188513,363.458,8.178423913,1,8.149847826,NA,0,149.6220543,1,154.7931196,2.379793478,1,2.312358696,76.56288674,0.985280797,NA,NA,15.45359054,NA,NA,12.80401609,NA,NA,33.87191304,1,BE-Dor,TRUE,Spring,-0.166666667
2017,816.7275,0.98980963,69.814,0.999773565,108.806,130.957,0.983167735,200.276,9.748,1,9.967141304,NA,0,169.0259783,1,166.8674239,3.163336957,0.071105239,3.248923913,84.52522853,0.998188406,NA,NA,34.48572935,NA,NA,18.42888913,NA,NA,27.37086957,1,BE-Dor,TRUE,Spring,-4.2
2018,906.78991,0.918251989,136.227,0.955615978,159.477,192.142,0.972958079,265.245,10.19958696,0.95923913,10.31196739,NA,0,166.2124674,0.959692065,169.0916304,3.214271739,0.95923913,3.229608696,86.20246135,0.950634058,NA,NA,37.22741196,NA,NA,13.35080739,NA,NA,26.66628261,0.95923913,BE-Dor,TRUE,Spring,-1.366666667
2019,641.60102,0.340353185,168.709,0.999094196,174.847,261.832,0.999310159,273.171,8.682206522,1,8.898826087,NA,0,156.0705761,1,159.7527065,2.997554348,1,2.578641304,79.08607624,0.999547101,NA,NA,0.735326609,NA,NA,7.174056522,NA,NA,21.22444565,1,BE-Dor,FALSE,Spring,-4.266666667
2020,1007.88408,0.954030674,102.489,1,93.726,263.69,1,223.282,9.554434783,1,10.00220652,NA,0,198.3855435,1,192.2096196,4.421902174,1,4.26426087,101.2447613,0.993432971,NA,NA,0.68376788,NA,NA,17.26442065,NA,NA,19.76328261,1,BE-Dor,TRUE,Spring,-3.103333333
