SITE_ID,SITE_NAME,SOURCE,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP,Climate,Climate Source,Notes1,Keep,START,END,Duration,SPRING,SUMMER,FALL,Notes2,min_dist_m,CRU_Aridity_P_PET,CRU_P_Annual_Mean_Total_mm,CRU_PET_Annual_Mean_Total_mm
ES-LJu,Llano de los Juanes,ICOS-2020,NA,36.92659,-2.75212,1600,OSH,16,400,Csb,Rubel,NA,Y,2004,2020,17,"c(2004, 2005)",c(2004),"c(2004, 2019)",looks like 2004 data is missing for GPP,19636.84925,0.25403504,321.6066723,1265.993354
ES-LM1,Majadas del Tietar North,ICOS-2020,NA,39.94269,-5.778683,266,WSA,16.7,650,Csa,Rubel,Luo et al 2018,Y,2014,2020,7,NA,NA,NA,data looks great,21565.65711,0.355671858,459.6300065,1292.286687
ES-LM2,Majadas del Tietar South,ICOS-2020,NA,39.934592,-5.775881,270,WSA,16.7,650,Csa,Rubel,Luo et al 2018,Y,2014,2020,7,NA,NA,NA,data looks great,20644.31919,0.355671858,459.6300065,1292.286687
FI-Hyy,Hyytiala,ICOS-2020,CC-BY-4.0,61.84741,24.29477,181,ENF,3.8,709,Dfc,Rubel,NA,Y,1996,2020,25,c(1996),NA,NA,precip missing in 2020,11084.05187,1.157886911,570.8266778,492.9900083
FI-Let,Lettosuo,ICOS-2020,NA,60.64183,23.95952,125,ENF,4.6,627,Dfb,ICOS,NA,Y,2009,2020,12,c(2009),c(2009),NA,has 2020 precip,16573.9979,1.142867559,574.6833436,502.8433427
FI-Sod,Sodankyla,FLUXNET2015,NA,67.36239,26.63859,180,ENF,-1,500,Dfc,Rubel,NA,Y,2001,2014,14,c(2002),NA,NA,NA,13379.96913,1.177895219,480.6833421,408.0866738
FI-Var,Varrio,ICOS-2020,NA,67.7549,29.61,395,ENF,-0.5,601,Dfc,ICOS,2016-2020,Y,2016,2020,5,NA,NA,NA,data looks great,5919.055253,1.59143282,610.0333435,383.3233397
FR-Bil,Bilos,ICOS-2020,NA,44.493652,-0.956092,39,ENF,12.9,960.1,Cfb,ICOS,NA,Y,2014,2020,7,c(2014),NA,NA,missing spring 2014 but otherwise all looks good,31660.10793,1.062938749,1013.476685,953.4666843
FR-FBn,Font-Blanche,ICOS-2020,NA,43.24079,5.67865,436,MF,13.9,700,Csa,Rubel,http://www.europe-fluxdata.eu/home/site-details?id=FR-FBn,Y,2008,2020,13,c(2017),NA,NA,mising 2020 precip and spring 2017 has low NEE QC,5869.202717,0.521971762,667.2800115,1278.383353
FR-Fon,Fontainebleau-Barbeau,ICOS-2020,NA,48.47636,2.7801,103,DBF,10.2,720,Cfb,Rubel,NA,Y,2005,2020,16,c(2014),NA,c(2017),some low NEE QC,25268.16443,0.739644502,624.3166765,844.0766817
FR-Hes,Hesse,ICOS-2020,NA,48.6741,7.06465,310,DBF,10,889,Cfb,Rubel,NA,Y,2014,2020,7,NA,NA,NA,all looks good,16005.36597,0.988885927,728.7133483,736.9033459
FR-Pue,Puechabon,FLUXNET2015,NA,43.7413,3.5957,270,EBF,13.5,883,Csa,Rubel,NA,Y,2000,2014,15,c(2000),c(2000),NA,NA,12432.48406,0.660380871,744.870012,1127.940018
IL-Yat,Yatir,ICOS-2020,NA,31.34504459,35.05198851,657,ENF,18.2,285,Csa,Rubel,https://www.weizmann.ac.il/EPS/Yakir/biosphere-atmosphere-fluxes; http://www.europe-fluxdata.eu/home/site-details?id=IL-Yat,Y,2000,2020,21,c(2000),"c(2000, 2011)",c(2003),few years with low NEE QC,21579.04634,0.125596217,208.1100041,1656.976696
IT-Col,Collelongo,FLUXNET2015,NA,41.84936,13.58814,1560,DBF,6.3,1180,Cfb,Rubel,NA,Y,1996,2014,19,"c(1996, 2003, 2004, 2006)",c(2002),NA,NA,17380.62894,0.673325276,743.1266783,1103.66669
IT-Cpz,Castelporziano,FLUXNET2015,NA,41.70525,12.37611,68,EBF,15.6,780,Csa,Rubel,NA,Y,1997,2009,13,"c(1997:1999, 2009)","c(1997:1999, 2009)","c(1997:1999, 2009)",NA,11588.20093,0.65699953,686.2666798,1044.546682
IT-Lav,Lavarone,ICOS-2020,NA,45.9562,11.28132,1353,ENF,7.8,1291,Dfb,Rubel,NA,Y,2003,2020,18,NA,NA,NA,missing precip in 2020,23056.38013,1.581525886,1043.44335,659.7700101
IT-Lsn,Lison,ICOS-2020,NA,45.740482,12.750297,1,OSH,13,1100,Cfa,ICOS,2016-2020,Y,2016,2020,5,NA,NA,NA,All looks good,1058.60587,1.397526117,1147.150017,820.8433485
IT-MBo,Monte Bondone,ICOS-2020,NA,46.01468,11.04583,1550,GRA,5.1,1214,Dfb,Rubel,NA,Y,2003,2020,18,NA,NA,c(2020),missing precip in 2020 and low QC in NEE fall 2020,30532.00627,2.304318913,1305.043357,566.3466763
IT-Noe,Arca di Noe - Le Prigionette,FLUXNET2015,NA,40.60618,8.15169,25,CSH,15.9,588,Csa,Rubel,NA,Y,2004,2014,11,NA,c(2011),c(2014),NA,18013.22316,0.49081208,569.093344,1159.493353
IT-Ren,Renon,ICOS-2020,NA,46.58686,11.43369,1730,ENF,4.7,809.3,Dfc,Rubel,NA,Y,1999,2020,22,NA,NA,c(2000),few low NEE QC,22924.43225,2.926349961,1553.170025,530.753343
