SITE_ID,SITE_NAME,FLUXNET2015,FLUXNET.CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP,Climate,Climate Source
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,CC-BY-4.0,,42.70681111,-80.34831389,184,ENF,8,1036,Dfb,AmeriFlux
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,CC-BY-4.0,,42.710161,-80.357376,184,ENF,8,1036,Dfb,AmeriFlux
CH-Cha,Chamau,CC-BY-4.0,CC-BY-4.0,47.21022,8.41044,393,GRA,9.5,1136,Cfb,Rubel
CH-Dav,Davos,CC-BY-4.0,CC-BY-4.0,46.81533,9.85591,1639,ENF,2.8,1062,Dfc,Rubel (shifted)
CH-Fru,Früebüel,CC-BY-4.0,,47.11583,8.53778,982,GRA,7.2,1651,Cfb,Rubel
CH-Lae,Laegern,CC-BY-4.0,,47.47833,8.36439,689,MF,8.3,1100,Cfb,Rubel
CH-Oe1,Oensingen grassland,CC-BY-4.0,,47.28583,7.73194,450,GRA,9,1100,Cfb,Rubel
CZ-BK1,Bily Kriz forest,CC-BY-4.0,,49.50208,18.53688,875,ENF,6.7,1316,Dfb,Rubel
CZ-BK2,Bily Kriz grassland,CC-BY-4.0,,49.49443,18.54285,855,GRA,6.7,1316,Dfb,Rubel
CZ-wet,Trebon (CZECHWET),CC-BY-4.0,,49.02465,14.77035,426,WET,7.7,604,Cfb,Rubel
DE-Gri,Grillenburg,CC-BY-4.0,,50.95004,13.51259,385,GRA,7.8,901,Cfb,Rubel
DE-Hai,Hainich,CC-BY-4.0,,51.07921,10.45217,430,DBF,8.3,720,Cfb,Rubel
DE-Lnf,Leinefelde,CC-BY-4.0,,51.32822,10.3678,451,DBF,6.96,894.6,Cfb,Rubel
DE-Obe,Oberbärenburg,CC-BY-4.0,,50.78666,13.72129,734,ENF,5.5,996,Cfb,Rubel
DE-Tha,Tharandt,CC-BY-4.0,,50.96256,13.56515,385,ENF,8.2,843,Cfb,Rubel
DK-Sor,Soroe,CC-BY-4.0,,55.48587,11.64464,40,DBF,8.2,660,Cfb,Rubel
ES-LJu,Llano de los Juanes,CC-BY-4.0,,36.92659,-2.75212,1600,OSH,16,400,Csb,Rubel
FI-Hyy,Hyytiala,CC-BY-4.0,CC-BY-4.0,61.84741,24.29477,181,ENF,3.8,709,Dfc,Rubel
FI-Sod,Sodankyla,CC-BY-4.0,,67.36239,26.63859,180,ENF,-1,500,Dfc,Rubel
FR-Fon,Fontainebleau-Barbeau,CC-BY-4.0,,48.47636,2.7801,103,DBF,10.2,720,Cfb,Rubel
FR-LBr,Le Bray,CC-BY-4.0,,44.71711,-0.7693,61,ENF,13.6,900,Cfb,Rubel
FR-Pue,Puechabon,CC-BY-4.0,,43.7413,3.5957,270,EBF,13.5,883,Csa,Rubel
GF-Guy,Guyaflux (French Guiana),CC-BY-4.0,,5.27877,-52.92486,48,EBF,25.7,3041,Am,Rubel
GL-NuF,Nuuk Fen,CC-BY-4.0,,64.13083,-51.38611,50,WET,-1.4,750,ET,Rubel
GL-ZaH,Zackenberg Heath,CC-BY-4.0,,74.47328,-20.5503,38,GRA,-9,211,ET,Rubel
IT-Col,Collelongo,CC-BY-4.0,,41.84936,13.58814,1560,DBF,6.3,1180,Cfb,Rubel
