"year","GPP_NT_VUT_REF_sum","NEE_VUT_REF_QC_mean","P_F_sum","P_F_QC_mean","P_ERA_sum","TA_F_mean","TA_F_QC_mean","TA_ERA_mean","PPFD_IN_mean","PPFD_IN_QC_mean","SW_IN_F_mean","SW_IN_F_QC_mean","SW_IN_ERA_mean","VPD_F_mean","VPD_F_QC_mean","VPD_ERA_mean","NETRAD_mean","NETRAD_QC_mean","G_F_MDS_mean","G_F_MDS_QC_mean","LE_F_MDS_mean","LE_F_MDS_QC_mean","LE_CORR_mean","H_F_MDS_mean","H_F_MDS_QC_mean","H_CORR_mean","SWC_F_MDS_1_mean","SWC_F_MDS_1_QC_mean","SITE_ID","keep_year"
2016,600.26135,0.88156702173913,121.303,0.956748260869565,223.577,15.307847826087,0.964447380434783,15.2466086956522,390.079032029247,0.950634057971014,183.258956521739,0.966032760869565,182.673717391304,4.15634782608696,0.964447380434783,4.30004347826087,98.1299402951715,0.950634057971014,4.61249043478261,0.964447380434783,51.5591869565217,0.96354177173913,37.1826065217391,77.8756184782609,0.963994510869565,56.1451206521739,NA,NA,"FI-Let",TRUE
2017,835.4406,0.67798925,213.812,0.778079630434783,227.314,14.020402173913,0.783967402173913,13.9512934782609,NA,0.661005434782609,189.635010869565,0.784646706521739,178.617,4.0708152173913,0.783967402173913,4.13407608695652,NA,NA,4.35283239130435,0.783967402173913,79.4821456521739,0.753849619565217,46.1096184782609,85.1856326086957,0.754302489130435,49.6257130434783,NA,NA,"FI-Let",TRUE
2018,596.21634,0.734374858695652,111.135,0.789854956521739,150.75,17.0582282608696,0.793251739130435,16.990597826087,NA,0.668251811594203,206.917663043478,0.793931304347826,202.739684782609,6.58656521739131,0.793251739130435,7.10598913043478,NA,NA,4.41751119565217,0.793251739130435,65.5263869565217,0.791666695652174,43.8032195652174,88.1346217391304,0.792798869565218,62.0918586956522,NA,NA,"FI-Let",TRUE
2019,782.4618,0.592844336956522,155.282,0.40172125,135.07,16.2694565217391,0.635643206521739,16.1956630434783,NA,0.578351449275362,211.456369565217,0.615715597826087,205.82852173913,6.52484782608696,0.635643206521739,6.5096847826087,NA,NA,2.64049706521739,0.531702902173913,81.991122826087,0.632925652173913,54.4274,42.6795641304348,0.633605293478261,27.5462858695652,NA,NA,"FI-Let",TRUE
2020,878.77729,0.778306380434783,217.036,0.892436673913043,186.413,16.1485217391304,0.896739,15.8793152173913,464.570455131004,0.863677536231884,219.440565217391,0.897645076086957,207.62675,6.24509782608696,0.896739,5.94695652173913,NA,NA,3.73548717391304,0.896739,79.4713695652174,0.894247956521739,52.2091206521739,51.4645826086956,0.894700956521739,35.5008510869565,NA,NA,"FI-Let",TRUE
2001,553.30763,0.975090695652174,211.983,0,211.983,13.1255,0.99162152173913,13.3887391304348,371.774596082924,0.975090579710141,177.105195652174,0.999547065217391,167.777097826087,4.76230434782609,0.99162152173913,4.7640652173913,NA,NA,4.76419113043478,NA,66.362822826087,0.985506967391304,69.1274402173913,39.1703,0.991168706521739,40.9320641304348,8.00360869565217,0.999320695652174,"FI-Sod",TRUE
2002,568.95784,0.961956619565217,203.339,0,203.339,14.2078913043478,1,14.6307065217391,418.269306147402,0.796422101449196,192.875054347826,1,192.478891304348,5.14678260869565,0.999547130434783,5.5354347826087,122.530312167698,0.905344202898293,4.26049804347826,NA,67.0998108695652,0.982110576086957,70.9860478260869,48.1601184782609,0.994565163043478,50.9963815217391,6.06792391304348,1,"FI-Sod",FALSE
2003,405.52236,0.881793510869565,130.233,0,130.233,13.5481086956522,1,13.696902173913,417.11848556513,0.947463768116174,193.317673913043,1,194.777065217391,5.75138043478261,1,5.6705,125.885594155783,0.972826086956706,4.45453,NA,49.7035576086957,0.90692922826087,56.4123434782609,56.4585706521739,0.936820706521739,64.2630597826087,6.33195652173913,1,"FI-Sod",TRUE
2004,406.88112,0.948143228260869,246.208,0,246.208,12.8276195652174,1,12.9365326086957,NA,0.661458333333424,172.033793478261,1,166.72377173913,4.20835869565217,1,4.22773913043478,NA,NA,4.04061545652174,NA,55.8693967391304,0.978713663043478,65.403077173913,38.1777923913044,0.986865913043478,44.6213347826087,10.9217173913043,1,"FI-Sod",TRUE
2005,452.9922,0.939990836956522,173.396,0,173.396,14.1411956521739,1,14.6870652173913,404.747256442076,0.966259057971065,191.871108695652,0.999547130434783,185.867206521739,5.54310869565217,1,5.9804347826087,NA,NA,4.39170793478261,NA,52.740975,0.992753423913043,62.9642956521739,46.7597489130435,0.994338934782609,56.3290836956522,7.699,1,"FI-Sod",TRUE
2006,473.62573,0.975769934782609,124.494,0,124.494,14.0119456521739,1,14.5564782608696,474.852989078424,0.905344202898533,203.32672826087,0.999547065217391,196.155358695652,6.36152173913043,1,6.14670652173913,NA,NA,5.65117108695652,NA,45.9243163043478,0.985733934782609,35.367647826087,57.9183869565217,0.996376576086957,43.089452173913,4.0385,0.748188467391304,"FI-Sod",TRUE
2007,419.49389,0.943161206521739,191.311,0,191.311,12.8867065217391,0.999773565217391,13.035597826087,NA,0.49479166666662,175.40677173913,1,174.793152173913,4.50302173913043,0.999773565217391,4.52884782608696,NA,NA,3.77352094565217,NA,50.3301423913043,0.992753695652174,37.3192858695652,42.4438489130435,0.995018108695652,33.454297826087,6.66548913043478,1,"FI-Sod",TRUE
2008,364.31869,0.983469456521739,251.496,1,216.466,11.2860326086957,1,11.3200326086957,NA,0.66236413043487,164.46402173913,1,158.754847826087,3.43695652173913,1,3.65645652173913,79.2587598940978,0.995244565217609,3.99799775,NA,53.8718358695652,0.992300880434783,42.7649184782609,40.0645456521739,0.996376847826087,32.408647826087,10.4829130434783,1,"FI-Sod",TRUE
2009,373.52015,0.968750195652174,203.015,1,179.758,13.1635108695652,0.945652282608696,12.9155326086957,NA,0.661911231883902,186.73772826087,1,184.895673913043,5.27707608695652,0.945652282608696,4.89090217391304,NA,NA,-2.8855197826087,NA,46.9976554347826,0.98505425,34.8943217391304,47.9928010869565,0.988224869565217,37.0657315217391,6.92445652173913,0.945878717391304,"FI-Sod",TRUE
2010,471.1706,0.531929240434783,211.803,1,197.154,12.4947934782609,1,12.6056847826087,368.414366728348,0.997282608695717,172.949239130435,0.999320695652174,169.042184782609,4.30429347826087,1,4.29027173913043,84.2622802122511,0.99547101449262,-2.88591065217391,NA,51.4834956521739,0.699275445652174,38.6780326086957,68.2159608695652,0.879981706521739,52.4847913043478,8.4834347826087,1,"FI-Sod",TRUE
2011,515.30167,0.940670413043478,210.915,1,235.81,14.2304239130435,1,14.3798913043478,414.681205525848,0.997735507246554,194.883576086957,0.999320695652174,183.298032608696,5.46192391304348,1,5.31391304347826,95.5072011707739,0.995697463768239,-2.88518282608696,NA,62.7017826086957,0.963315358695652,NA,72.9866358695652,0.993206489130435,NA,7.06779347826087,1,"FI-Sod",TRUE
2012,501.30756,0.571331641304348,151.514,1,155.301,12.0238260869565,1,12.1153043478261,379.357209672467,0.996829710144794,179.804793478261,0.999773565217391,166.012619565217,4.26310869565217,1,4.32310869565217,86.5697722128163,0.994338768116033,-2.88518282608696,NA,55.5782858695652,0.615715586956522,NA,64.7662130434783,0.771512891304348,NA,11.0555217391304,1,"FI-Sod",TRUE
2013,495.23708,0.913043467391304,190.99,1,173.978,13.95825,1,14.4718695652174,367.480278250207,0.996376811594011,175.884619565217,1,175.198163043478,4.68320652173913,1,5.01172826086957,85.6328490824043,0.992980072463598,-2.8855197826087,NA,46.3425456521739,0.939764315217391,NA,68.7107836956522,0.994791467391304,NA,11.5499565217391,1,"FI-Sod",TRUE
2014,513.54489,0.8580165,209.961,1,204.194,14.0331086956522,1,14.2970434782609,384.3764903135,0.997056159419935,185.219152173913,1,180.219793478261,5.50413043478261,1,5.45832608695652,94.3841440647185,0.99750905797113,-2.88591065217391,NA,60.9127619565217,0.8883605,NA,52.2375217391304,0.951313315217391,NA,11.9740652173913,1,"FI-Sod",TRUE
2016,351.5401,0.999320695652174,326.604,0.999320695652174,302.934,11.7944673913043,0.999773565217391,11.2531304347826,297.980984745887,0.998867753623188,148.655793478261,1,142.540391304348,3.71835869565217,0,3.71835869565217,80.6741710142976,0.964900362318841,5.3926097826087,0.838315326086957,34.9171630434783,1,41.0609815217391,32.5931293478261,1,38.9458586956522,21.3923043478261,1,"FI-Var",TRUE
2017,314.01349,0.999773695652174,207.91,0.999773565217391,212.224,10.209652173913,1,9.57594565217391,301.910617131675,0.998414855072464,145.668054347826,1,149.079815217391,3.58075,0,3.58075,82.1372558880484,0.995697463768116,5.0511027173913,1,32.4260336956522,1,34.9275597826087,37.9832423913043,1,42.6010336956522,18.3112934782609,1,"FI-Var",TRUE
2018,394.37931,0.991168641304348,189.548,1,194.765,12.6953913043478,1,12.2100217391304,356.308692881784,0.998867753623188,173.795934782609,1,166.093054347826,6.00509782608696,1,5.87083695652174,97.5017735609282,0.907382246376812,4.85634021739131,0.994791663043478,40.18885,0.999773695652174,37.7831641304348,57.3668315217391,0.999773695652174,53.8505086956522,15.1552608695652,0.995018097826087,"FI-Var",TRUE
2019,330.44121,0.951313532608696,151.156,1,152.654,10.2351739130435,1,9.76167391304348,313.50277006726,0.999320652173913,150.411141304348,1,139.054717391304,3.8743152173913,1,3.64066304347826,NA,NA,4.61869934782609,0.999094260869565,27.1441891304348,0.999547065217391,27.9558543478261,48.5685119565217,0.999320630434783,50.2259315217391,16.7745326086957,1,"FI-Var",TRUE
