Site ID,Site Name,IGBP,Climate,Latitude,Longitude,Elevation,WI,Data Source,Duration_Group
US-Seg,Sevilleta grassland,GRA,Bsk,34.3623,-106.702,1622,0.16,OneFlux,Spring10
US-Ses,Sevilleta shrubland,OSH,Bsk,34.3349,-106.7442,1604,0.16,OneFlux,Spring10
US-SRG,Santa Rita Grassland,GRA,Bsk,31.789379,-110.827675,1291,0.33,OneFlux,Spring10
US-SRM,Santa Rita Mesquite,WSA,Bsk,31.8214,-110.8661,1120,0.26,FLUXNET2015,Spring10
US-Ton,Tonzi Ranch,WSA,Csa,38.43093184,-120.9659907,177,0.45,FLUXNET2015,Spring10
US-Uaf,"University of Alaska, Fairbanks",ENF,Dwc,64.8663,-147.8555,155,0.68,OneFlux,Spring10
US-UMB,Univ. of Mich. Biological Station,DBF,Dfb,45.5598,-84.7138,234,1.14,OneFlux,Spring10
US-UMd,UMBS Disturbance,DBF,Dfb,45.5625,-84.6975,239,1.12,OneFlux,Spring10
US-Var,Vaira Ranch- Ione,GRA,Csa,38.41329154,-120.9507564,129,0.46,FLUXNET2015,Spring10
US-Vcp,Valles Caldera Ponderosa Pine,ENF,Dfb,35.8624,-106.5974,2542,0.63,OneFlux,Spring10
US-WCr,Willow Creek,DBF,Dfb,45.8059,-90.0799,520,1.29,FLUXNET2015,Spring10
US-Wjs,Willard Juniper Savannah,SAV,Bsk,34.4255,-105.8615,1931,0.23,OneFlux,Spring10
US-Wkg,Walnut Gulch Kendall Grasslands,GRA,Bsk,31.7365,-109.9419,1531,0.23,FLUXNET2015,Spring10
IT-Ro2,Roccarespampani 2,DBF,Csa,42.39026,11.92093,160,0.37,FLUXNET2015,Summer10
US-GLE,GLEES,ENF,Dfc,41.36653,-106.2399,3197,0.83,FLUXNET2015,Summer10
US-Mpj,Mountainair Pinyon-Juniper Woodland,WSA,Bsk,34.4385,-106.2377,2196,0.29,OneFlux,Summer10
BE-Dor,Dorinne,GRA,Cfb,50.31135,4.968591,247,1.31,ICOS-2020,All5
CA-Ca1,British Columbia - 1949 Douglas-fir stand,ENF,Cfb,49.8673,-125.3336,300,2.60,OneFlux,All5
CA-Ca2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),ENF,Cfb,49.8705,-125.2909,300,2.28,OneFlux,All5
CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,ENF,Cfb,49.5346,-124.9004,120,2.26,OneFlux,All5
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",ENF,Dfc,49.6925,-74.34206,382,2.06,FLUXNET2015,All5
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,ENF,Dfb,42.66093611,-80.55951944,265,1.33,FLUXNET2015,All5
CA-WP1,"Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen",WET,Dfc,54.9538,-112.467,540,0.76,OneFlux,All5
CH-Aws,Alp Weissenstein,GRA,Dfc,46.583306,9.790417,1988,3.17,ICOS-2020,All5
CH-Oe1,Oensingen grassland,GRA,Cfb,47.28583,7.73194,450,1.69,FLUXNET2015,All5
CZ-Lnz,Lanzhot,DBF,Cfb,48.68155,16.946331,150,0.82,ICOS-2020,All5
CZ-RAJ,Rajec,ENF,Cfb,49.4437236,16.6965125,649,0.90,ICOS-2020,All5
DE-HoH,Hohes Holz,DBF,Cfb,52.08656,11.22235,193,0.86,ICOS-2020,All5
DE-Hte,Huetelmoor,WET,Cfb,54.210278,12.176111,1,1.02,ICOS-2018,All5
DE-Hzd,Hetzdorf,DBF,Cfb,50.96381,13.48978,395,1.17,ICOS-2020,All5
DE-Lnf,Leinefelde,DBF,Cfb,51.32822,10.3678,451,1.37,FLUXNET2015,All5
DE-RuR,Rollesbroich,GRA,Cfb,50.62191,6.30413,514.7,1.79,ICOS-2020,All5
DE-RuW,Wustebach,ENF,Cfb,50.50493,6.3309627,610,2.06,ICOS-2020,All5
ES-Abr,Albuera,WSA,Csa,38.701839,-6.785881,279,0.42,ICOS-2020,All5
ES-LM1,Majadas del Tietar North,WSA,Csa,39.94269,-5.778683,266,0.38,ICOS-2020,All5
